x [mm];y [mm];x-displacement [mm];y-displacement [mm];Transverse strain Exx - GL [S];Axial strain Eyy - GL [S];Shear strain Exy - GL [S];Maximum normal strain - GL [S];Minimum normal strain - GL [S];Affine transformation a [];Affine transformation b [];Affine transformation c [];Affine transformation d [];Confidence region [pixel];Correlation value [count];Enough pixels valid [];Number of iterations [];Vector status []
307.531;1595.06;0.704269;-3.67981;-0.00138332;-0.00086054;0.00109322;2.10118e-06;-0.00224596;0.997362;0.0101782;-0.0109523;0.999589;0.0199429;0.990261;1;3;1
330.531;1595.06;0.662221;-3.50106;-0.00211952;-0.000756858;0.00167139;0.000366736;-0.00324311;1.00157;0.00832476;-0.00890143;1.00036;0.0185238;0.990148;1;3;1
353.531;1595.06;0.604629;-3.24721;-0.00224681;-0.00212862;0.00139972;-0.000786749;-0.00358868;0.993746;0.00660207;-0.0116576;0.998832;0.01895;0.993269;1;3;1
376.531;1595.06;0.55661;-3.0577;0.00035111;-0.0014232;-7.35927e-05;0.000354158;-0.00142625;1.00233;0.00650227;-0.00676067;1.00087;0.0193645;0.991133;1;3;1
399.531;1595.06;0.619444;-2.89695;-0.00103498;-0.00340888;0.00116448;-0.000559138;-0.00388472;0.990014;0.00347251;-0.00777431;0.996116;0.0251411;0.984035;1;3;1
422.531;1595.06;0.50753;-2.69311;-0.00325164;-0.00134074;0.00307757;0.000926281;-0.00551866;1.00218;-0.000225795;-0.00990194;0.993448;0.0200082;0.986975;1;3;1
445.531;1595.06;0.46722;-2.42743;-0.0019082;-0.00335333;0.00248743;-4.05096e-05;-0.00522102;0.996809;0.00822535;-0.0100514;0.993262;0.0217822;0.988848;1;3;1
468.531;1595.06;0.417364;-2.23304;-0.00173042;-0.00245846;0.00111392;-0.000922547;-0.00326633;0.99678;0.00630554;-0.00724875;0.995677;0.0186008;0.990793;1;3;1
491.531;1595.06;0.386129;-2.06587;-0.00119522;-0.000890738;-0.000478754;-0.0005406;-0.00154535;0.996859;0.00153336;-0.00871601;0.999843;0.0271522;0.980421;1;3;1
514.531;1595.06;0.361216;-1.91017;7.54102e-05;-0.000698001;0.000523298;0.000339383;-0.000961974;1.00067;0.0125835;-0.00761924;0.992185;0.0286199;0.971948;1;4;1
537.531;1595.06;0.387936;-1.67494;-0.00010178;-0.000580815;0.0023689;0.00203968;-0.00272228;1.0001;0.0185984;-0.0157621;0.997261;0.0276358;0.988139;1;3;1
